task_relevance,content_depth,reasoning_present,connecting_ideas,te_continuous,predicted_level,group_name,sec,y,our_te
0.95,0.85,0.8,0.9,0.86,high,triad_13,120.0,1,0.5873450539215742
0.95,0.85,0.85,0.8,0.85,high,triad_13,180.0,1,0.5525135956060343
0.9,0.85,0.8,0.85,0.85,high,triad_13,240.0,1,0.5638597717390741
0.95,0.85,0.8,0.9,0.88,high,triad_13,300.0,1,0.6120195636721296
0.75,0.5,0.4,0.6,0.55,medium,triad_13,360.0,0,0.4796009678440643
0.9,0.7,0.65,0.8,0.75,high,triad_13,420.0,0,0.4178898940113181
0.9,0.85,0.8,0.85,0.85,high,triad_13,480.0,0,0.4574890416584261
0.95,0.8,0.75,0.7,0.8,high,triad_13,540.0,0,0.4732328623862222
0.85,0.3,0.1,0.15,0.45,medium,triad_13,600.0,0,0.151782323771637
0.85,0.55,0.6,0.5,0.62,medium,triad_14,0.0,0,0.2736791720163305
0.95,0.85,0.9,0.85,0.88,high,triad_14,60.0,1,0.5209068417761111
0.9,0.75,0.8,0.75,0.8,high,triad_14,120.0,1,0.5026725128828704
0.85,0.7,0.75,0.7,0.75,high,triad_14,180.0,1,0.6168437440627778
0.9,0.75,0.8,0.75,0.8,high,triad_14,240.0,1,0.5664044733295999
0.85,0.75,0.7,0.8,0.78,high,triad_14,300.0,0,0.4547044146348
0.95,0.85,0.85,0.9,0.88,high,triad_14,360.0,1,0.6457777313567472
0.9,0.75,0.8,0.7,0.78,high,triad_14,420.0,1,0.6036689557369445
0.8,0.4,0.3,0.35,0.45,medium,triad_14,480.0,0,0.335153819857851
0.85,0.7,0.65,0.75,0.74,high,triad_14,540.0,0,0.4326384190129245
