from,to,name,conf
553680,554240,ja,1.0
558040,562480,"Ich könnte mir auch vorstellen, dass es vielleicht so eine Sache wäre, die..",1.0
564720,580040," Ja, wie gesagt, die besser irgendwie funktionieren würde als so eine Art Kurs und vielleicht jetzt nicht für bestimmte Unterrichtsfächer, sondern so als, sondern so irgendwie als eigenes autonomes Ding irgendwen.",0.8560284
582080,583600,autonomes Ding irgendwen.,1.0
586840,592800," Ja, schon fast wie so ein Kurs oder so eine AG halt, dass es da, glaube ich, schon fast besser funktioniert.",0.4782746
601920,602040,Ja.,0.35
658160,659880," Ja, genau.",0.72394335
672040,673560,Aber es muss ja nicht mal so sein.,0.78124726
673640,675680,Du kannst ja schon...,0.5640672
675720,685480," Du könntest ja auch vielleicht Angebote wahrnehmen, die auch heutzutage existieren, die vielleicht mit mehr Aufwand verbunden sind.",0.8355476
685600,697080,"Keine Ahnung, ich habe gedacht, für Englisch könnte man vielleicht irgendwie so eine Stadttour, so eine virtuelle machen, irgendwie in London oder wenn du irgendwie Großbritannien als Thema hast oder so.",0.7851842
697120,702200,"Weil das ist ja jetzt schon mehr mit Aufwand verbunden, irgendwie einmal so nach London zu reisen mit deiner Klasse.",0.8574242
702800,717760," Da hat es schon vielleicht mh einen mh größeren Mehrwert, aber ich sehe das schon, dass das vielleicht auch nicht so ganz sensibel ist, wenn du jetzt irgendwie...",0.8335173
717960,725520," keine Ahnung, sagst, okay, wir wollen euch jetzt mal, keine Ahnung, ins Kriegsgeschehen werfen oder so mit einer VR-Brille, so, da muss man ganz, ganz vorsichtig sein.",0.7720077
729360,730560,"Ja, ja, nee, aber voll.",0.68528
734320,734960,Ja.,0.494
736280,737560,"Ja, weil, ja.",0.47267437
743000,744680," Ja, also, keine Ahnung.",0.7824001
744760,755040,"Ich denke, man muss halt irgendwie immer so ein bisschen die Sinnhaftigkeit so ein bisschen hinterfragen, weil es macht ja auch nicht Sinn, bei jedem historischen Ereignis irgendwie eine VR-Brille aufzuziehen.",0.7515709
756120,757200,ehm,1.0
758680,765000,"Aber, ja, ich finde das irgendwie selber einfach schwierig,",0.7854218
