,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
60,Baseline Stratified Strategy,17,0.5714285714285714,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [3 4]]",0.046875,0.5714285714285714,0.0
61,Baseline Stratified Strategy,18,0.14285714285714285,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [6 1]]",0.0,0.0,0.14285714285714285
62,Baseline Stratified Strategy,19,0.5714285714285714,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 1]
 [2 4]]",0.03125,0.0,0.5714285714285714
63,Baseline Stratified Strategy,20,0.5,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [2 2]]",0.0,0.0,0.5
64,Baseline Stratified Strategy,avg,0.460983460983461,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[44 53]
 [48 41]]",0.484375,0.4565295815295815,0.463952713952714
65,Baseline Stratified Strategy,std,0.13062382551513463,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[44 53]
 [48 41]]",0.484375,0.10209107734813669,0.14651691522240654
66,Baseline Uniform Strategy,1,0.6923076923076923,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[3 2]
 [2 6]]",0.046875,0.0,0.6923076923076923
67,Baseline Uniform Strategy,2,0.5833333333333334,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[6 4]
 [1 1]]",0.0,0.5833333333333334,0.0
68,Baseline Uniform Strategy,3,0.3333333333333333,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[1 8]
 [0 3]]",0.0,0.3333333333333333,0.0
69,Baseline Uniform Strategy,4,0.18181818181818182,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 5]
 [4 2]]",0.03125,0.18181818181818182,0.0
70,Baseline Uniform Strategy,5,0.2727272727272727,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[3 6]
 [2 0]]",0.015625,0.2727272727272727,0.0
71,Baseline Uniform Strategy,6,0.5454545454545454,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[5 3]
 [2 1]]",0.046875,0.0,0.5454545454545454
72,Baseline Uniform Strategy,7,0.6363636363636364,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[1 3]
 [1 6]]",0.015625,0.0,0.6363636363636364
73,Baseline Uniform Strategy,8,0.6363636363636364,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[7 2]
 [2 0]]",0.015625,0.0,0.6363636363636364
74,Baseline Uniform Strategy,9,0.4,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 4]
 [2 2]]",0.015625,0.0,0.4
75,Baseline Uniform Strategy,10,0.4444444444444444,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[4 4]
 [1 0]]",0.0,0.4444444444444444,0.0
76,Baseline Uniform Strategy,11,0.2222222222222222,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 2]
 [5 0]]",0.046875,0.2222222222222222,0.0
77,Baseline Uniform Strategy,12,0.2222222222222222,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 1]
 [6 2]]",0.015625,0.2222222222222222,0.0
78,Baseline Uniform Strategy,13,0.625,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[1 2]
 [1 4]]",0.03125,0.0,0.625
79,Baseline Uniform Strategy,14,0.375,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 3]
 [2 1]]",0.03125,0.0,0.375
80,Baseline Uniform Strategy,15,0.625,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 1]
 [2 3]]",0.03125,0.0,0.625
81,Baseline Uniform Strategy,16,0.5,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[4 3]
 [1 0]]",0.03125,0.0,0.5
82,Baseline Uniform Strategy,17,0.5714285714285714,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [3 4]]",0.03125,0.5714285714285714,0.0
83,Baseline Uniform Strategy,18,0.5714285714285714,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [3 4]]",0.0,0.0,0.5714285714285714
84,Baseline Uniform Strategy,19,0.42857142857142855,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 1]
 [3 3]]",0.078125,0.0,0.42857142857142855
85,Baseline Uniform Strategy,20,0.75,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [1 3]]",0.015625,0.0,0.75
86,Baseline Uniform Strategy,avg,0.4808509546009546,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[43 54]
 [44 45]]",0.5625,0.3539411976911977,0.5654574592074592
87,Baseline Uniform Strategy,std,0.1656212610349293,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[43 54]
 [44 45]]",0.5625,0.14977434800991996,0.11343183742881167
88,Nearest Neighbors Test,1,0.5384615384615384,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[3 2]
 [4 4]]",0.203125,0.0,0.5384615384615384
89,Nearest Neighbors Test,2,0.5833333333333334,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[6 4]
 [1 1]]",0.125,0.5833333333333334,0.0
90,Nearest Neighbors Test,3,0.3333333333333333,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[4 5]
 [3 0]]",0.203125,0.3333333333333333,0.0
91,Nearest Neighbors Test,4,0.6363636363636364,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[5 0]
 [4 2]]",0.265625,0.6363636363636364,0.0
92,Nearest Neighbors Test,5,0.45454545454545453,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[5 4]
 [2 0]]",0.1875,0.45454545454545453,0.0
93,Nearest Neighbors Test,6,0.18181818181818182,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 8]
 [1 2]]",0.078125,0.0,0.18181818181818182
94,Nearest Neighbors Test,7,0.6363636363636364,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 2]
 [2 5]]",0.140625,0.0,0.6363636363636364
95,Nearest Neighbors Test,8,0.7272727272727273,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[6 3]
 [0 2]]",0.109375,0.0,0.7272727272727273
96,Nearest Neighbors Test,9,0.7,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[3 3]
 [0 4]]",0.1875,0.0,0.7
97,Nearest Neighbors Test,10,0.4444444444444444,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[4 4]
 [1 0]]",0.15625,0.4444444444444444,0.0
98,Nearest Neighbors Test,11,0.4444444444444444,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[4 0]
 [5 0]]",0.109375,0.4444444444444444,0.0
99,Nearest Neighbors Test,12,0.7777777777777778,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 1]
 [1 7]]",0.046875,0.7777777777777778,0.0
100,Nearest Neighbors Test,13,0.5,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 3]
 [1 4]]",0.203125,0.0,0.5
101,Nearest Neighbors Test,14,0.5,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 3]
 [1 2]]",0.109375,0.0,0.5
102,Nearest Neighbors Test,15,0.5,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 1]
 [3 2]]",0.125,0.0,0.5
103,Nearest Neighbors Test,16,0.25,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 5]
 [1 0]]",0.125,0.0,0.25
104,Nearest Neighbors Test,17,0.14285714285714285,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [6 1]]",0.140625,0.14285714285714285,0.0
105,Nearest Neighbors Test,18,0.42857142857142855,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [4 3]]",0.1875,0.0,0.42857142857142855
106,Nearest Neighbors Test,19,0.7142857142857143,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[1 0]
 [2 4]]",0.09375,0.0,0.7142857142857143
107,Nearest Neighbors Test,20,0.25,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [3 1]]",0.109375,0.0,0.25
108,Nearest Neighbors Test,avg,0.48719363969363966,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[49 48]
 [45 44]]",2.953125,0.4771374458874459,0.493897768897769
109,Nearest Neighbors Test,std,0.1805512360955284,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[49 48]
 [45 44]]",2.953125,0.18099936531108216,0.1799399100433203
110,Nearest Neighbors,1,0.6923076923076923,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[5 0]
 [4 4]]",3.875,0.0,0.6923076923076923
111,Nearest Neighbors,2,0.8333333333333334,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[10  0]
 [ 2  0]]",3.625,0.8333333333333334,0.0
112,Nearest Neighbors,3,0.8333333333333334,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[9 0]
 [2 1]]",3.546875,0.8333333333333334,0.0
113,Nearest Neighbors,4,0.5454545454545454,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[5 0]
 [5 1]]",3.0,0.5454545454545454,0.0
114,Nearest Neighbors,5,0.7272727272727273,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[8 1]
 [2 0]]",3.28125,0.7272727272727273,0.0
115,Nearest Neighbors,6,0.2727272727272727,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 8]
 [0 3]]",3.28125,0.0,0.2727272727272727
116,Nearest Neighbors,7,0.6363636363636364,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[1 3]
 [1 6]]",3.453125,0.0,0.6363636363636364
117,Nearest Neighbors,8,0.45454545454545453,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[3 6]
 [0 2]]",3.21875,0.0,0.45454545454545453
118,Nearest Neighbors,9,0.6,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[2 4]
 [0 4]]",3.125,0.0,0.6
119,Nearest Neighbors,10,0.7777777777777778,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[7 1]
 [1 0]]",3.296875,0.7777777777777778,0.0
120,Nearest Neighbors,11,0.5555555555555556,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[4 0]
 [4 1]]",3.09375,0.5555555555555556,0.0
121,Nearest Neighbors,12,0.7777777777777778,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 1]
 [1 7]]",3.859375,0.7777777777777778,0.0
122,Nearest Neighbors,13,0.625,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 3]
 [0 5]]",3.875,0.0,0.625
123,Nearest Neighbors,14,0.125,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[1 4]
 [3 0]]",3.609375,0.0,0.125
124,Nearest Neighbors,15,0.5,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[3 0]
 [4 1]]",3.296875,0.0,0.5
125,Nearest Neighbors,16,0.125,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 7]
 [0 1]]",3.296875,0.0,0.125
126,Nearest Neighbors,17,0.42857142857142855,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [4 3]]",3.453125,0.42857142857142855,0.0
127,Nearest Neighbors,18,0.42857142857142855,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [4 3]]",3.515625,0.0,0.42857142857142855
128,Nearest Neighbors,19,0.42857142857142855,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 1]
 [3 3]]",2.859375,0.0,0.42857142857142855
129,Nearest Neighbors,20,0.25,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[0 0]
 [3 1]]",3.71875,0.0,0.25
130,Nearest Neighbors,avg,0.5308581696081697,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[58 39]
 [43 46]]",68.328125,0.6848845598845599,0.4281739094239095
131,Nearest Neighbors,std,0.21310578662007607,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[58 39]
 [43 46]]",68.328125,0.14361070418006788,0.18862827913889324
132,Linear SVM l1,1,0.6153846153846154,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[4 1]
 [4 4]]",0.46875,0.0,0.6153846153846154
133,Linear SVM l1,2,0.8333333333333334,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[10  0]
 [ 2  0]]",0.34375,0.8333333333333334,0.0
134,Linear SVM l1,3,0.75,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[9 0]
 [3 0]]",0.375,0.75,0.0
135,Linear SVM l1,4,0.45454545454545453,Nested,SCALER_all_groups_all_features_60s_binary_all_groups_avg_separated_Manual,All,All,60,"[[5 0]
 [6 0]]",0.34375,0.45454545454545453,0.0
